May 9, 2026   11:12:42
1.669, 2.183e-2
1.670, 2.203e-2
1.671, 2.223e-2
1.672, 2.243e-2
1.673, 2.264e-2
1.674, 2.285e-2
1.675, 2.306e-2
1.676, 2.327e-2
1.677, 2.348e-2
1.678, 2.369e-2
1.679, 2.390e-2
1.680, 2.411e-2
1.681, 2.431e-2
1.682, 2.452e-2
1.683, 2.473e-2
1.684, 2.493e-2
1.685, 2.514e-2
1.686, 2.534e-2
1.687, 2.555e-2
1.688, 2.576e-2
1.689, 2.598e-2
1.690, 2.618e-2
1.691, 2.640e-2
1.692, 2.662e-2
1.693, 2.684e-2
1.694, 2.705e-2
1.695, 2.724e-2
1.696, 2.745e-2
1.697, 2.766e-2
1.698, 2.787e-2
1.699, 2.807e-2
1.700, 2.829e-2
1.701, 2.850e-2
1.702, 2.868e-2
1.703, 2.887e-2
1.704, 2.910e-2
1.705, 2.934e-2
1.706, 2.957e-2
1.707, 2.977e-2
1.708, 2.997e-2
1.709, 3.017e-2
1.710, 3.038e-2
1.711, 3.058e-2
1.712, 3.079e-2
1.713, 3.100e-2
1.714, 3.130e-2
1.715, 3.157e-2
1.716, 3.177e-2
1.717, 3.197e-2
1.718, 3.217e-2
1.719, 3.237e-2
1.720, 3.257e-2
1.721, 3.277e-2
1.722, 3.296e-2
1.723, 3.321e-2
1.724, 3.355e-2
1.725, 3.377e-2
1.726, 3.398e-2
1.727, 3.418e-2
1.728, 3.438e-2
1.729, 3.459e-2
1.730, 3.478e-2
1.731, 3.498e-2
1.732, 3.519e-2
1.733, 3.539e-2
1.734, 3.558e-2
1.735, 3.578e-2
1.736, 3.598e-2
1.737, 3.617e-2
1.738, 3.637e-2
1.739, 3.656e-2
1.740, 3.676e-2
1.741, 3.697e-2
1.742, 3.717e-2
1.743, 3.737e-2
1.744, 3.756e-2
1.745, 3.775e-2
1.746, 3.794e-2
1.747, 3.814e-2
1.748, 3.834e-2
1.749, 3.859e-2
1.750, 3.892e-2
1.751, 3.918e-2
1.752, 3.938e-2
1.753, 3.957e-2
1.754, 3.975e-2
1.755, 3.994e-2
1.756, 4.014e-2
1.757, 4.032e-2
1.758, 4.051e-2
1.759, 4.068e-2
1.760, 4.086e-2
1.761, 4.104e-2
1.762, 4.129e-2
1.763, 4.155e-2
1.764, 4.175e-2
1.765, 4.192e-2
1.766, 4.209e-2
1.767, 4.227e-2
1.768, 4.246e-2
1.769, 4.265e-2
1.770, 4.287e-2
1.771, 4.307e-2
1.772, 4.327e-2
1.773, 4.346e-2
1.774, 4.365e-2
1.775, 4.382e-2
1.776, 4.401e-2
1.777, 4.419e-2
1.778, 4.435e-2
1.779, 4.454e-2
1.780, 4.473e-2
1.781, 4.491e-2
1.782, 4.510e-2
1.783, 4.528e-2
1.784, 4.544e-2
1.785, 4.561e-2
1.786, 4.578e-2
1.787, 4.595e-2
1.788, 4.612e-2
1.789, 4.628e-2
1.790, 4.646e-2
1.791, 4.663e-2
1.792, 4.687e-2
1.793, 4.716e-2
1.794, 4.731e-2
1.795, 4.747e-2
1.796, 4.763e-2
1.797, 4.779e-2
1.798, 4.795e-2
1.799, 4.812e-2
1.800, 4.830e-2
1.801, 4.848e-2
1.802, 4.863e-2
1.803, 4.879e-2
1.804, 4.895e-2
1.805, 4.909e-2
1.806, 4.925e-2
1.807, 4.941e-2
1.808, 4.956e-2
1.809, 4.973e-2
1.810, 4.987e-2
1.811, 5.003e-2
1.812, 5.020e-2
1.813, 5.036e-2
1.814, 5.052e-2
1.815, 5.068e-2
1.816, 5.088e-2
1.817, 5.102e-2
1.818, 5.118e-2
1.819, 5.147e-2
1.820, 5.168e-2
1.821, 5.183e-2
1.822, 5.197e-2
1.823, 5.211e-2
1.824, 5.224e-2
1.825, 5.238e-2
1.826, 5.253e-2
1.827, 5.267e-2
1.828, 5.282e-2
1.829, 5.299e-2
1.830, 5.317e-2
1.831, 5.332e-2
1.832, 5.344e-2
1.833, 5.356e-2
1.834, 5.368e-2
1.835, 5.380e-2
1.836, 5.393e-2
1.837, 5.407e-2
1.838, 5.420e-2
1.839, 5.432e-2
1.840, 5.453e-2
1.841, 5.480e-2
1.842, 5.491e-2
1.843, 5.502e-2
1.844, 5.512e-2
1.845, 5.524e-2
1.846, 5.535e-2
1.847, 5.545e-2
1.848, 5.556e-2
1.849, 5.566e-2
1.850, 5.578e-2
1.851, 5.588e-2
1.852, 5.598e-2
1.853, 5.610e-2
1.854, 5.623e-2
1.855, 5.635e-2
1.856, 5.646e-2
1.857, 5.656e-2
1.858, 5.666e-2
1.859, 5.685e-2
1.860, 5.703e-2
1.861, 5.712e-2
1.862, 5.721e-2
1.863, 5.731e-2
1.864, 5.742e-2
1.865, 5.752e-2
1.866, 5.763e-2
1.867, 5.773e-2
1.868, 5.807e-2
1.869, 5.830e-2
1.870, 5.839e-2
1.871, 5.851e-2
1.872, 5.866e-2
1.873, 5.875e-2
1.874, 5.885e-2
1.875, 5.894e-2
1.876, 5.900e-2
1.877, 5.928e-2
1.878, 5.941e-2
1.879, 5.953e-2
1.880, 5.984e-2
1.881, 6.006e-2
1.882, 6.012e-2
1.883, 6.022e-2
1.884, 6.030e-2
1.885, 6.039e-2
1.886, 6.049e-2
1.887, 6.059e-2
1.888, 6.067e-2
1.889, 6.082e-2
1.890, 6.096e-2
1.891, 6.105e-2
1.892, 6.112e-2
1.893, 6.123e-2
1.894, 6.132e-2
1.895, 6.138e-2
1.896, 6.149e-2
1.897, 6.157e-2
1.898, 6.164e-2
1.899, 6.175e-2
1.900, 6.188e-2
1.901, 6.198e-2
1.902, 6.206e-2
1.903, 6.217e-2
1.904, 6.228e-2
1.905, 6.234e-2
1.906, 6.241e-2
1.907, 6.250e-2
1.908, 6.258e-2
1.909, 6.264e-2
1.910, 6.271e-2
1.911, 6.283e-2
1.912, 6.291e-2
1.913, 6.301e-2
1.914, 6.311e-2
1.915, 6.322e-2
1.916, 6.325e-2
1.917, 6.336e-2
1.918, 6.344e-2
1.919, 6.349e-2
