May 9, 2026   12:32:38
1.571, 1.206e-2
1.572, 1.225e-2
1.573, 1.245e-2
1.574, 1.264e-2
1.575, 1.284e-2
1.576, 1.304e-2
1.577, 1.324e-2
1.578, 1.345e-2
1.579, 1.365e-2
1.580, 1.386e-2
1.581, 1.407e-2
1.582, 1.428e-2
1.583, 1.449e-2
1.584, 1.471e-2
1.585, 1.492e-2
1.586, 1.514e-2
1.587, 1.536e-2
1.588, 1.559e-2
1.589, 1.581e-2
1.590, 1.603e-2
1.591, 1.626e-2
1.592, 1.648e-2
1.593, 1.671e-2
1.594, 1.695e-2
1.595, 1.718e-2
1.596, 1.741e-2
1.597, 1.764e-2
1.598, 1.788e-2
1.599, 1.812e-2
1.600, 1.836e-2
1.601, 1.860e-2
1.602, 1.884e-2
1.603, 1.909e-2
1.604, 1.933e-2
1.605, 1.957e-2
1.606, 1.982e-2
1.607, 2.008e-2
1.608, 2.033e-2
1.609, 2.058e-2
1.610, 2.084e-2
1.611, 2.109e-2
1.612, 2.135e-2
1.613, 2.161e-2
1.614, 2.187e-2
1.615, 2.213e-2
1.616, 2.240e-2
1.617, 2.266e-2
1.618, 2.293e-2
1.619, 2.320e-2
1.620, 2.347e-2
1.621, 2.374e-2
1.622, 2.401e-2
1.623, 2.428e-2
1.624, 2.455e-2
1.625, 2.483e-2
1.626, 2.511e-2
1.627, 2.539e-2
1.628, 2.567e-2
1.629, 2.595e-2
1.630, 2.623e-2
1.631, 2.651e-2
1.632, 2.680e-2
1.633, 2.709e-2
1.634, 2.738e-2
1.635, 2.767e-2
1.636, 2.796e-2
1.637, 2.824e-2
1.638, 2.854e-2
1.639, 2.884e-2
1.640, 2.913e-2
1.641, 2.942e-2
1.642, 2.972e-2
1.643, 3.001e-2
1.644, 3.031e-2
1.645, 3.061e-2
1.646, 3.091e-2
1.647, 3.121e-2
1.648, 3.151e-2
1.649, 3.181e-2
1.650, 3.211e-2
1.651, 3.242e-2
1.652, 3.272e-2
1.653, 3.303e-2
1.654, 3.333e-2
1.655, 3.364e-2
1.656, 3.395e-2
1.657, 3.427e-2
1.658, 3.458e-2
1.659, 3.489e-2
1.660, 3.521e-2
1.661, 3.552e-2
1.662, 3.583e-2
1.663, 3.615e-2
1.664, 3.647e-2
1.665, 3.679e-2
1.666, 3.710e-2
1.667, 3.742e-2
1.668, 3.774e-2
1.669, 3.806e-2
1.670, 3.838e-2
1.671, 3.870e-2
1.672, 3.902e-2
1.673, 3.934e-2
1.674, 3.967e-2
1.675, 3.999e-2
1.676, 4.032e-2
1.677, 4.065e-2
1.678, 4.098e-2
1.679, 4.131e-2
1.680, 4.164e-2
1.681, 4.198e-2
1.682, 4.231e-2
1.683, 4.264e-2
1.684, 4.298e-2
1.685, 4.332e-2
1.686, 4.365e-2
1.687, 4.398e-2
1.688, 4.431e-2
1.689, 4.465e-2
1.690, 4.498e-2
1.691, 4.532e-2
1.692, 4.566e-2
1.693, 4.600e-2
1.694, 4.634e-2
1.695, 4.669e-2
1.696, 4.705e-2
1.697, 4.739e-2
1.698, 4.773e-2
1.699, 4.807e-2
1.700, 4.842e-2
1.701, 4.877e-2
1.702, 4.912e-2
1.703, 4.947e-2
1.704, 4.982e-2
1.705, 5.016e-2
1.706, 5.051e-2
1.707, 5.085e-2
1.708, 5.121e-2
1.709, 5.156e-2
1.710, 5.191e-2
1.711, 5.226e-2
1.712, 5.261e-2
1.713, 5.296e-2
1.714, 5.331e-2
1.715, 5.366e-2
1.716, 5.401e-2
1.717, 5.437e-2
1.718, 5.475e-2
1.719, 5.511e-2
1.720, 5.546e-2
1.721, 5.582e-2
1.722, 5.618e-2
1.723, 5.654e-2
1.724, 5.689e-2
1.725, 5.725e-2
1.726, 5.761e-2
1.727, 5.797e-2
1.728, 5.833e-2
1.729, 5.869e-2
1.730, 5.905e-2
1.731, 5.941e-2
1.732, 5.977e-2
1.733, 6.015e-2
1.734, 6.053e-2
1.735, 6.088e-2
1.736, 6.124e-2
1.737, 6.160e-2
1.738, 6.196e-2
1.739, 6.233e-2
1.740, 6.269e-2
1.741, 6.306e-2
1.742, 6.343e-2
1.743, 6.380e-2
1.744, 6.417e-2
1.745, 6.453e-2
1.746, 6.489e-2
1.747, 6.527e-2
1.748, 6.567e-2
1.749, 6.604e-2
1.750, 6.642e-2
1.751, 6.678e-2
1.752, 6.714e-2
1.753, 6.751e-2
1.754, 6.788e-2
1.755, 6.825e-2
1.756, 6.861e-2
1.757, 6.898e-2
1.758, 6.934e-2
1.759, 6.971e-2
1.760, 7.008e-2
1.761, 7.047e-2
1.762, 7.086e-2
1.763, 7.124e-2
1.764, 7.162e-2
1.765, 7.199e-2
1.766, 7.236e-2
1.767, 7.274e-2
1.768, 7.311e-2
1.769, 7.348e-2
1.770, 7.386e-2
1.771, 7.426e-2
1.772, 7.463e-2
1.773, 7.504e-2
1.774, 7.544e-2
1.775, 7.582e-2
1.776, 7.619e-2
1.777, 7.656e-2
1.778, 7.693e-2
1.779, 7.731e-2
1.780, 7.769e-2
1.781, 7.806e-2
1.782, 7.846e-2
1.783, 7.884e-2
1.784, 7.922e-2
1.785, 7.966e-2
1.786, 8.006e-2
1.787, 8.043e-2
1.788, 8.080e-2
1.789, 8.117e-2
1.790, 8.157e-2
1.791, 8.195e-2
1.792, 8.233e-2
1.793, 8.271e-2
1.794, 8.309e-2
1.795, 8.347e-2
1.796, 8.389e-2
1.797, 8.433e-2
1.798, 8.476e-2
1.799, 8.515e-2
1.800, 8.557e-2
1.801, 8.597e-2
1.802, 8.635e-2
1.803, 8.674e-2
1.804, 8.711e-2
1.805, 8.749e-2
1.806, 8.789e-2
1.807, 8.830e-2
1.808, 8.869e-2
1.809, 8.910e-2
1.810, 8.949e-2
1.811, 8.986e-2
1.812, 9.027e-2
1.813, 9.067e-2
1.814, 9.105e-2
1.815, 9.143e-2
1.816, 9.183e-2
1.817, 9.227e-2
1.818, 9.267e-2
1.819, 9.306e-2
1.820, 9.349e-2
1.821, 9.390e-2
1.822, 9.428e-2
1.823, 9.467e-2
1.824, 9.507e-2
1.825, 9.547e-2
1.826, 9.587e-2
1.827, 9.631e-2
1.828, 9.669e-2
1.829, 9.706e-2
1.830, 9.744e-2
1.831, 9.783e-2
1.832, 9.821e-2
1.833, 9.860e-2
1.834, 9.900e-2
1.835, 9.939e-2
1.836, 9.985e-2
1.837, 1.003e-1
1.838, 1.006e-1
1.839, 1.010e-1
1.840, 1.014e-1
1.841, 1.018e-1
1.842, 1.021e-1
1.843, 1.025e-1
1.844, 1.029e-1
1.845, 1.033e-1
1.846, 1.037e-1
1.847, 1.041e-1
1.848, 1.045e-1
1.849, 1.049e-1
1.850, 1.053e-1
1.851, 1.057e-1
1.852, 1.062e-1
1.853, 1.067e-1
1.854, 1.072e-1
1.855, 1.076e-1
1.856, 1.080e-1
1.857, 1.083e-1
1.858, 1.087e-1
1.859, 1.091e-1
1.860, 1.095e-1
1.861, 1.099e-1
1.862, 1.104e-1
1.863, 1.108e-1
1.864, 1.112e-1
1.865, 1.116e-1
1.866, 1.120e-1
1.867, 1.124e-1
1.868, 1.129e-1
1.869, 1.132e-1
1.870, 1.137e-1
1.871, 1.141e-1
1.872, 1.145e-1
1.873, 1.149e-1
1.874, 1.152e-1
1.875, 1.156e-1
1.876, 1.160e-1
1.877, 1.164e-1
1.878, 1.169e-1
1.879, 1.173e-1
1.880, 1.178e-1
1.881, 1.181e-1
1.882, 1.185e-1
1.883, 1.189e-1
1.884, 1.193e-1
1.885, 1.197e-1
1.886, 1.201e-1
1.887, 1.205e-1
1.888, 1.209e-1
1.889, 1.213e-1
1.890, 1.217e-1
1.891, 1.221e-1
1.892, 1.225e-1
1.893, 1.229e-1
1.894, 1.233e-1
1.895, 1.237e-1
1.896, 1.241e-1
1.897, 1.245e-1
1.898, 1.248e-1
1.899, 1.253e-1
1.900, 1.257e-1
1.901, 1.262e-1
1.902, 1.266e-1
1.903, 1.270e-1
1.904, 1.274e-1
1.905, 1.277e-1
1.906, 1.280e-1
1.907, 1.285e-1
1.908, 1.289e-1
1.909, 1.293e-1
1.910, 1.298e-1
1.911, 1.302e-1
1.912, 1.305e-1
1.913, 1.309e-1
1.914, 1.313e-1
1.915, 1.317e-1
1.916, 1.321e-1
1.917, 1.326e-1
1.918, 1.330e-1
1.919, 1.334e-1
