June 7, 2026   18:32:58
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
1.358, 5.319e-5
1.359, 5.337e-5
1.360, 5.355e-5
1.361, 5.388e-5
1.362, 5.402e-5
1.363, 5.442e-5
1.364, 5.472e-5
1.365, 5.473e-5
1.366, 5.514e-5
1.367, 5.551e-5
1.368, 5.542e-5
1.369, 5.610e-5
1.370, 5.646e-5
1.371, 5.663e-5
1.372, 5.718e-5
1.373, 5.727e-5
1.374, 5.761e-5
1.375, 5.801e-5
1.376, 5.845e-5
1.377, 5.896e-5
1.378, 5.911e-5
1.379, 5.970e-5
1.380, 6.021e-5
1.381, 6.034e-5
1.382, 6.113e-5
1.383, 6.179e-5
1.384, 6.179e-5
1.385, 6.255e-5
1.386, 6.310e-5
1.387, 6.352e-5
1.388, 6.436e-5
1.389, 6.489e-5
1.390, 6.528e-5
1.391, 6.585e-5
1.392, 6.666e-5
1.393, 6.743e-5
1.394, 6.796e-5
1.395, 6.901e-5
1.396, 6.979e-5
1.397, 7.017e-5
1.398, 7.116e-5
1.399, 7.215e-5
1.400, 7.268e-5
1.401, 7.399e-5
1.402, 7.487e-5
1.403, 7.548e-5
1.404, 7.672e-5
1.405, 7.768e-5
1.406, 7.880e-5
1.407, 8.015e-5
1.408, 8.118e-5
1.409, 8.247e-5
1.410, 8.351e-5
1.411, 8.511e-5
1.412, 8.659e-5
1.413, 8.743e-5
1.414, 8.936e-5
1.415, 9.095e-5
1.416, 9.214e-5
1.417, 9.407e-5
1.418, 9.569e-5
1.419, 9.742e-5
1.420, 9.947e-5
1.421, 1.015e-4
1.422, 1.035e-4
1.423, 1.056e-4
1.424, 1.078e-4
1.425, 1.100e-4
1.426, 1.123e-4
1.427, 1.151e-4
1.428, 1.179e-4
1.429, 1.200e-4
1.430, 1.231e-4
1.431, 1.261e-4
1.432, 1.288e-4
1.433, 1.324e-4
1.434, 1.360e-4
1.435, 1.389e-4
1.436, 1.428e-4
1.437, 1.463e-4
1.438, 1.500e-4
1.439, 1.540e-4
1.440, 1.581e-4
1.441, 1.626e-4
1.442, 1.666e-4
1.443, 1.713e-4
1.444, 1.764e-4
1.445, 1.810e-4
1.446, 1.866e-4
1.447, 1.924e-4
1.448, 1.973e-4
1.449, 2.036e-4
1.450, 2.094e-4
1.451, 2.156e-4
1.452, 2.224e-4
1.453, 2.291e-4
1.454, 2.360e-4
1.455, 2.432e-4
1.456, 2.508e-4
1.457, 2.588e-4
1.458, 2.666e-4
1.459, 2.755e-4
1.460, 2.840e-4
1.461, 2.923e-4
1.462, 3.018e-4
1.463, 3.114e-4
1.464, 3.211e-4
1.465, 3.317e-4
1.466, 3.426e-4
1.467, 3.533e-4
1.468, 3.649e-4
1.469, 3.761e-4
1.470, 3.881e-4
1.471, 4.006e-4
1.472, 4.138e-4
1.473, 4.272e-4
1.474, 4.404e-4
1.475, 4.550e-4
1.476, 4.698e-4
1.477, 4.842e-4
1.478, 5.002e-4
1.479, 5.165e-4
1.480, 5.324e-4
1.481, 5.498e-4
1.482, 5.670e-4
1.483, 5.849e-4
1.484, 6.038e-4
1.485, 6.231e-4
1.486, 6.427e-4
1.487, 6.630e-4
1.488, 6.838e-4
1.489, 7.056e-4
1.490, 7.274e-4
1.491, 7.505e-4
1.492, 7.740e-4
1.493, 7.976e-4
1.494, 8.228e-4
1.495, 8.483e-4
1.496, 8.738e-4
1.497, 9.010e-4
1.498, 9.285e-4
1.499, 9.563e-4
1.500, 9.852e-4
1.501, 1.014e-3
1.502, 1.045e-3
1.503, 1.076e-3
1.504, 1.108e-3
1.505, 1.141e-3
1.506, 1.174e-3
1.507, 1.209e-3
1.508, 1.244e-3
1.509, 1.279e-3
1.510, 1.316e-3
1.511, 1.354e-3
1.512, 1.391e-3
1.513, 1.431e-3
1.514, 1.471e-3
1.515, 1.511e-3
1.516, 1.553e-3
1.517, 1.596e-3
1.518, 1.639e-3
1.519, 1.683e-3
1.520, 1.728e-3
1.521, 1.774e-3
1.522, 1.820e-3
1.523, 1.868e-3
1.524, 1.917e-3
1.525, 1.966e-3
1.526, 2.016e-3
1.527, 2.067e-3
1.528, 2.119e-3
1.529, 2.172e-3
1.530, 2.226e-3
1.531, 2.281e-3
1.532, 2.337e-3
1.533, 2.393e-3
1.534, 2.451e-3
1.535, 2.509e-3
1.536, 2.569e-3
1.537, 2.629e-3
1.538, 2.690e-3
1.539, 2.752e-3
1.540, 2.816e-3
1.541, 2.879e-3
1.542, 2.944e-3
1.543, 3.010e-3
1.544, 3.076e-3
1.545, 3.144e-3
1.546, 3.213e-3
1.547, 3.282e-3
1.548, 3.352e-3
1.549, 3.424e-3
1.550, 3.497e-3
1.551, 3.570e-3
1.552, 3.644e-3
1.553, 3.719e-3
1.554, 3.795e-3
1.555, 3.873e-3
1.556, 3.952e-3
1.557, 4.031e-3
1.558, 4.111e-3
1.559, 4.192e-3
1.560, 4.275e-3
1.561, 4.359e-3
1.562, 4.444e-3
1.563, 4.529e-3
1.564, 4.616e-3
1.565, 4.703e-3
1.566, 4.793e-3
1.567, 4.882e-3
1.568, 4.973e-3
1.569, 5.065e-3
1.570, 5.157e-3
1.571, 5.252e-3
1.572, 5.347e-3
1.573, 5.442e-3
1.574, 5.540e-3
1.575, 5.640e-3
1.576, 5.739e-3
1.577, 5.839e-3
1.578, 5.941e-3
1.579, 6.044e-3
1.580, 6.148e-3
1.581, 6.254e-3
1.582, 6.360e-3
1.583, 6.467e-3
1.584, 6.576e-3
1.585, 6.685e-3
1.586, 6.795e-3
1.587, 6.907e-3
1.588, 7.021e-3
1.589, 7.134e-3
1.590, 7.249e-3
1.591, 7.365e-3
1.592, 7.483e-3
1.593, 7.602e-3
1.594, 7.721e-3
1.595, 7.842e-3
1.596, 7.964e-3
1.597, 8.086e-3
1.598, 8.210e-3
1.599, 8.334e-3
1.600, 8.460e-3
1.601, 8.587e-3
1.602, 8.715e-3
1.603, 8.844e-3
1.604, 8.974e-3
1.605, 9.105e-3
1.606, 9.237e-3
1.607, 9.371e-3
1.608, 9.505e-3
1.609, 9.640e-3
1.610, 9.776e-3
1.611, 9.914e-3
1.612, 1.005e-2
1.613, 1.019e-2
1.614, 1.033e-2
1.615, 1.047e-2
1.616, 1.062e-2
1.617, 1.077e-2
1.618, 1.091e-2
1.619, 1.106e-2
1.620, 1.121e-2
1.621, 1.135e-2
1.622, 1.150e-2
1.623, 1.166e-2
1.624, 1.181e-2
1.625, 1.196e-2
1.626, 1.211e-2
1.627, 1.227e-2
1.628, 1.242e-2
1.629, 1.258e-2
1.630, 1.274e-2
1.631, 1.289e-2
1.632, 1.305e-2
1.633, 1.321e-2
1.634, 1.337e-2
1.635, 1.353e-2
1.636, 1.369e-2
1.637, 1.385e-2
1.638, 1.402e-2
1.639, 1.418e-2
1.640, 1.435e-2
1.641, 1.453e-2
1.642, 1.471e-2
1.643, 1.488e-2
1.644, 1.505e-2
1.645, 1.522e-2
1.646, 1.539e-2
1.647, 1.556e-2
1.648, 1.573e-2
1.649, 1.590e-2
1.650, 1.607e-2
1.651, 1.624e-2
1.652, 1.641e-2
1.653, 1.658e-2
1.654, 1.676e-2
1.655, 1.694e-2
1.656, 1.711e-2
1.657, 1.729e-2
1.658, 1.746e-2
1.659, 1.764e-2
1.660, 1.782e-2
1.661, 1.800e-2
1.662, 1.818e-2
1.663, 1.836e-2
1.664, 1.854e-2
1.665, 1.872e-2
1.666, 1.890e-2
1.667, 1.909e-2
1.668, 1.929e-2
1.669, 1.947e-2
1.670, 1.965e-2
1.671, 1.983e-2
1.672, 2.002e-2
1.673, 2.021e-2
1.674, 2.039e-2
1.675, 2.057e-2
1.676, 2.076e-2
1.677, 2.094e-2
1.678, 2.113e-2
1.679, 2.131e-2
1.680, 2.150e-2
1.681, 2.169e-2
1.682, 2.187e-2
1.683, 2.206e-2
1.684, 2.225e-2
1.685, 2.244e-2
1.686, 2.263e-2
1.687, 2.281e-2
1.688, 2.300e-2
1.689, 2.319e-2
1.690, 2.338e-2
1.691, 2.357e-2
1.692, 2.376e-2
1.693, 2.395e-2
1.694, 2.414e-2
1.695, 2.433e-2
1.696, 2.452e-2
1.697, 2.471e-2
1.698, 2.490e-2
1.699, 2.509e-2
1.700, 2.528e-2
1.701, 2.547e-2
1.702, 2.567e-2
1.703, 2.586e-2
1.704, 2.605e-2
1.705, 2.626e-2
1.706, 2.646e-2
1.707, 2.665e-2
1.708, 2.684e-2
1.709, 2.703e-2
1.710, 2.722e-2
1.711, 2.741e-2
1.712, 2.760e-2
1.713, 2.780e-2
1.714, 2.799e-2
1.715, 2.819e-2
1.716, 2.838e-2
1.717, 2.858e-2
1.718, 2.877e-2
1.719, 2.897e-2
1.720, 2.916e-2
1.721, 2.936e-2
1.722, 2.955e-2
1.723, 2.974e-2
1.724, 2.994e-2
1.725, 3.014e-2
1.726, 3.036e-2
1.727, 3.056e-2
1.728, 3.076e-2
1.729, 3.096e-2
1.730, 3.116e-2
1.731, 3.136e-2
1.732, 3.156e-2
1.733, 3.177e-2
1.734, 3.197e-2
1.735, 3.221e-2
1.736, 3.244e-2
1.737, 3.265e-2
1.738, 3.284e-2
1.739, 3.304e-2
1.740, 3.323e-2
1.741, 3.343e-2
1.742, 3.363e-2
1.743, 3.382e-2
1.744, 3.402e-2
1.745, 3.424e-2
1.746, 3.444e-2
1.747, 3.465e-2
1.748, 3.486e-2
1.749, 3.506e-2
1.750, 3.527e-2
1.751, 3.548e-2
1.752, 3.567e-2
1.753, 3.586e-2
1.754, 3.606e-2
1.755, 3.626e-2
1.756, 3.646e-2
1.757, 3.667e-2
1.758, 3.687e-2
1.759, 3.707e-2
1.760, 3.727e-2
1.761, 3.747e-2
1.762, 3.767e-2
1.763, 3.787e-2
1.764, 3.807e-2
1.765, 3.827e-2
1.766, 3.848e-2
1.767, 3.869e-2
1.768, 3.890e-2
1.769, 3.911e-2
1.770, 3.932e-2
1.771, 3.953e-2
1.772, 3.977e-2
1.773, 3.998e-2
1.774, 4.018e-2
1.775, 4.037e-2
1.776, 4.058e-2
1.777, 4.078e-2
1.778, 4.098e-2
1.779, 4.118e-2
1.780, 4.140e-2
1.781, 4.160e-2
1.782, 4.181e-2
1.783, 4.202e-2
1.784, 4.225e-2
1.785, 4.246e-2
1.786, 4.266e-2
1.787, 4.286e-2
1.788, 4.306e-2
1.789, 4.326e-2
1.790, 4.345e-2
1.791, 4.365e-2
1.792, 4.385e-2
1.793, 4.406e-2
1.794, 4.426e-2
1.795, 4.446e-2
1.796, 4.464e-2
1.797, 4.481e-2
1.798, 4.502e-2
1.799, 4.522e-2
